1,fooot,99.0,2025-01-17,exercise
2,dinner,25.0,2025-02-17,meal
3,lunch,30.0,2025-03-17,meal
4,bascket,76.0,2025-01-20,exercise
5,breakfast,15.0,2025-02-20,meal
6,gym,50.0,2025-03-20,fitness
7,snack,10.0,2025-01-21,meal
8,yoga,40.0,2025-02-21,fitness
9,coffee,5.0,2025-03-21,beverage
10,swimming,60.0,2025-01-22,exercise
11,pizza,20.0,2025-02-22,meal
12,jogging,45.0,2025-03-22,exercise
13,sushi,35.0,2025-01-23,meal
14,cycling,55.0,2025-02-23,exercise
15,burger,18.0,2025-03-23,meal
16,tennis,70.0,2025-01-24,exercise
17,salad,12.0,2025-02-24,meal
18,basketball,65.0,2025-03-24,exercise
19,pasta,22.0,2025-01-25,meal
20,football,80.0,2025-02-25,exercise
